SMASH OUT (3) - bumped start.,,,,,,,,
MA CHERE (4) - contact after the start. Collided first turn.,,,,,,,,
FALL GRACEFULLY (5) - bumped after the start. Collided first turn. Collided final bend.,,,,,,,,
COOBER PEDY (6) - bumped after the start. Checked first turn shifting wider.,,,,,,,,
BIG TIME RICKY (7) - shifted in after the star making contact. Collided first turn losing ground. Shifted in into the line of another runner.,,,,,,,,
,,,,,,,,
,,,,,,,,
FULL RESULTS,Race 7,"$25,000 Guaranteed Pick6 Sprint","C3 318 $2,035.00",Photo Finish,,,,
PLACE,DOG,BOX,SP,WEIGHT,BENDS,TRAINER,MARGIN,
1,Express Emporium,8,$3.90,26.8kg,211,W & T Steele,,
2,Kuridrani,7,$21.00,33.1kg,332,M Black,3.27,
3,Franky The Jett,2,$2.00,31.8kg,523,E Potts,3.41,
4,Guru's Choice,5,$33.60,28.3kg,444,Agent/Williams,7.59,
5,Nexus,4,$16.50,29.5kg,655,G Farrell,7.9,
6,Blocker,3,$14.70,25.4kg,166,R & N O'Regan,11.62,
7,Mad Jack,1,$4.30,33.1kg,787,T A Green,16.23,
8,Bigtime Hunter,6,$53.60,35.7kg,878,R & N O'Regan,16.37,
Scratched,Audrette,,,,,,,
Scratched,Bigtime Minnie,,,,,,,
Winners Time: 18.81,|,Margins: 3qLH4qL,|,Owned/Raced by: M & D Laagland,|,Trained by: W & T Steele,,
MAD JACK (1) - checked off heels first turn.,,,,,,,,
FRANKY THE JETT (2) - bumped after the start. Collided first turn.,,,,,,,,
BLOCKER (3) - bumped after the start. Contact first turn.,,,,,,,,
GURU'S CHOICE (5) - bumped after the start. Contact first turn.,,,,,,,,
BIGTIME HUNTER (6) - slow away.,,,,,,,,
KURIDRANI (7) - collided first turn shifting wider.,,,,,,,,
NEXUS (9/4) - checked after the start. Contact first turn.,,,,,,,,
,,,,,,,,
,,,,,,,,
FULL RESULTS,Race 8,Pump & Engineering Services Ltd Stakes,"C1 527 $2,505.00",Photo Finish,,,,
PLACE,DOG,BOX,SP,WEIGHT,BENDS,TRAINER,MARGIN,
1,Monsoon Malabar,7,$7.70,33.0kg,61111,J Udy & D Cottam,,
2,Jinja Babe,8,$8.90,26.4kg,53222,N P Green,1.89,
3,Opawa Big,3,$2.00,32.4kg,12333,G Farrell,7.44,
4,Just Maddie,6,$43.50,29.6kg,86644,M Black,7.77,
5,El Narco,1,$3.80,33.1kg,44455,N P Green,12.67,
6,Jinja Jake,5,$16.70,33.2kg,25566,W & T Steele,13.7,
7,Little Mermaid,4,$17.30,25.7kg,37777,W & T Steele,15.92,
8,Stellar Babe,2,$21.90,28.2kg,78888,P W Cleaver,27.72,
Scratched,Fear The Fur,,,,,,,
Scratched,Boyka,,,,,,,
Winners Time: 31.55,|,Margins: 2L5hLN,|,Owned/Raced by: Dinny Syndicate,|,Trained by: J Udy & D Cottam,,
Sectional 1: 4.72 (Opawa Big),Sectional 2: 15.91 (Monsoon Malabar),Run home: 15.64,,,,,,
STELLAR BABE (2) - bumped after the start. Checked first turn losing ground and shifting out making contact.,,,,,,,,
OPAWA BIG (3) - bumped after the start.,,,,,,,,
LITTLE MERMAID (4) - jostled for a distance after the start. Tightened making contact for a distance first turn then shifted wider.,,,,,,,,
JINJA JAKE (5) - jostled for a distance after the start. Tightened making contact for a distance first turn.,,,,,,,,
MONSOON MALABAR (7) - contact start.,,,,,,,,
JINJA BABE (8) - contact start and again first turn.,,,,,,,,
JUST MADDIE (9/6) - checked first turn then hampered getting forced wide losing ground.,,,,,,,,
,,,,,,,,
,,,,,,,,
FULL RESULTS,Race 9,Qualified Pet Services Sprint,"C4/5 318 $2,860.00",Photo Finish,,,,
PLACE,DOG,BOX,SP,WEIGHT,BENDS,TRAINER,MARGIN,
1,Manila Bala,5,$8.10,28.3kg,111,R & N O'Regan,,
2,Kelly's Girl,6,$3.20,27.5kg,222,G N Pomeroy,3.65,
3,Podium Phobia,8,$20.10,29.3kg,433,B D F Craik,4.1,
4,Electric Dancer,4,$4.60,25.0kg,344,W & T Steele,4.9,
5,Thank You Next,1,$6.80,26.3kg,665,B D F Craik,9.01,
6,Kiwi Boy,2,$2.80,31.1kg,556,J Udy & D Cottam,10.45,
Scratched,Noah Who,,,,,,,
Scratched,Pat Tama,,,,,,,
Scratched,Ashen,,,,,,,
Scratched,Miss Claude,,,,,,,
Winners Time: 18.92,|,Margins: 3tLhLtL,|,Owned/Raced by: The Bullet Syndicate,|,Trained by: R & N O'Regan,,
Sectional 1: 4.58 (Manila Bala),Run home: 14.34,,,,,,,
ASHEN and MISS CLAUDE were both late scratched at kenneling on Veterinary advice.,,,,,,,,
THANK YOU NEXT (1) - slow away then inconvenienced. Tightened and hampered first turn losing ground. Shifted out off heels rounding the bend.,,,,,,,,
