1,Opawa Slick,5,$1.50,30.3kg,111,R Wales,,
2,Silouette Jet,6,$8.20,30.3kg,562,J F Allen,6.8,
3,Miss Nina,7,$25.80,31.8kg,223,B I Conner,7.3,
4,Volcanic Whisper,3,$8.10,27.9kg,454,J F Allen,8.3,
5,Mitcham Manering,2,$13.20,33.4kg,645,J T McInerney,8.4,
6,Punch On Woody,1,$15.90,35.4kg,336,J T McInerney,9.7,
7,Mick The Mower,4,$9.60,36.3kg,777,J T McInerney,10.5,
8,Bruiser's Day,8,$32.30,29.9kg,888,B I Conner,10.6,
Scratched,Rocky Vincitore,,,,,,,
Scratched,Bartholomew Cub,,,,,,,
Winners Time: 26.70,|,Margins: 6tLhL1L,|,Owned/Raced by: Opawa Racing Limited,|,Trained by: R Wales,,
Sectional 1: 8.62 (Opawa Slick),Sectional 2: 19.32 (Opawa Slick),Run home: 7.38,,,,,,
VOLCANIC WHISPER (3) - squeezed between runners early stages.,,,,,,,,
SILOUETTE JET (6) - shifted up the track in the run to the bend dictating BRUISER'S DAY wide.,,,,,,,,
BRUISER'S DAY (8) - dictated up the track in the run to the bend before changing ground inwards losing momentum.,,,,,,,,
,,,,,,,,
,,,,,,,,
FULL RESULTS,Race 6,MARK TURNER PAINTER PH021737111,"C3/4 457 $4,030.00",Photo Finish,,,,
PLACE,DOG,BOX,SP,WEIGHT,BENDS,TRAINER,MARGIN,
1,Double Speed,6,$2.10,33.8kg,311,R H Adcock,,
2,Opawa Sweet,2,$3.10,30.7kg,522,R Wales,6,
3,Homebush Sayer,3,$24.50,33.1kg,633,J T McInerney,7.3,
4,Eddie Hemi,1,$10.00,32.5kg,244,R Wales,7.6,
5,Opawa Lawsey,7,$21.70,31.5kg,475,R Wales,9.9,
6,Lakota Kohana,5,$12.00,31.6kg,166,H G Cairns,12.7,
7,Punters Last,4,$7.90,30.0kg,757,R Wales,18,
Scratched,Our Jolene,,,,,,,
Winners Time: 26.61,|,Margins: 6L1qLN,|,Owned/Raced by: RH Adcock & RG Amer,|,Trained by: R H Adcock,,
Sectional 1: 8.72 (Lakota Kohana),Sectional 2: 19.35 (Double Speed),Run home: 7.26,,,,,,
EDDIE HEMI (1) - bumped with LAKOTA KOHANA entering the bend.,,,,,,,,
OPAWA SWEET (2) - jostled with HOMEBUSH SAYER early stages.,,,,,,,,
HOMEBUSH SAYER (3) - jostled with OPAWA SWEET early stages.,,,,,,,,
PUNTERS LAST (4) - jostled with HOMEBUSH SAYER early stages before being bumped from the outside by DOUBLE SPEED. Awkwardly placed on heels prior to the bend losing momentum for a stride. Weakened final stages.,,,,,,,,
LAKOTA KOHANA (5) - bumped with EDDIE HEMI entering the bend.,,,,,,,,
DOUBLE SPEED (6) - shifted down the track early stages bumping with PUNTERS LAST.,,,,,,,,
OPAWA LAWSEY (7) - awkwardly placed on heels entering the bend losing momentum for a stride.,,,,,,,,
,,,,,,,,
,,,,,,,,
FULL RESULTS,Race 7,ADDED ENERGY DASH,"C3 390 $2,035.00",Photo Finish,,,,
PLACE,DOG,BOX,SP,WEIGHT,BENDS,TRAINER,MARGIN,
1,Homebush Caesar,2,$4.80,36.2kg,321,J T McInerney,,
2,Homebush Monkey,1,$2.10,33.1kg,212,J T McInerney,7,
3,Reign Of Fire,6,$13.40,38.1kg,563,J T McInerney,7.5,
4,Go Gunna,5,$6.80,34.7kg,144,R Wales,7.8,
5,Machine Gunn,7,$6.60,29.0kg,435,R H Adcock,8.8,
6,Punch On Buzz,8,$6.60,31.8kg,656,J T McInerney,9.3,
Scratched,Cosmic Jase,,,,,,,
Scratched,Homebush Comet,,,,,,,
Scratched,Amuri Liv,,,,,,,
Winners Time: 22.99,|,Margins: 7LhLN,|,Owned/Raced by: J T McInerney,|,Trained by: J T McInerney,,
Sectional 1: 5.30 (Go Gunna),Sectional 2: 15.95 (Homebush Monkey),Run home: 7.04,,,,,,
HOMEBUSH CAESAR (2) - boxed first.,,,,,,,,
REIGN OF FIRE (6) - boxed first.Shouldered with MACHINE GUNN entering the bend losing ground. Awkwardly placed on heels shortly afterwards.,,,,,,,,
MACHINE GUNN (7) - bumped briefly with PUNCH ON BUZZ prior to the bend. Shouldered with REIGN OF FIRE entering the bend losing ground.,,,,,,,,
PUNCH ON BUZZ (8) - bumped briefly with MACHINE GUNN prior to the bend losing ground.,,,,,,,,
,,,,,,,,
,,,,,,,,
FULL RESULTS,Race 8,MR WHIPPY SOUTHLAND,"C3/4 390 $2,390.00",Photo Finish,,,,
PLACE,DOG,BOX,SP,WEIGHT,BENDS,TRAINER,MARGIN,
1,Starr Blueblood,2,$2.70,33.6kg,111,J T McInerney,,
2,Eyrewell Bentley,4,$9.00,32.2kg,742,H G Cairns,1.8,
3,Nikko Baxter,1,$6.40,33.4kg,253,J T McInerney,2.6,
4,Eyrewell Ebony,5,$7.90,27.1kg,364,H G Cairns,5.6,
5,Sozin's Azure,7,$20.80,31.7kg,635,J T McInerney,5.9,
6,Homebush Finn,3,$6.30,33.6kg,526,J T McInerney,6.2,
7,Homebush Tesan,8,$13.70,31.6kg,477,J T McInerney,6.7,
8,Magic Jess Lass,6,$6.40,30.3kg,888,C Healey,10.5,
Scratched,Homebush Comet,,,,,,,
Winners Time: 23.21,|,Margins: 1tLtL3L,|,Owned/Raced by: M W Bell,|,Trained by: J T McInerney,,
Sectional 1: 5.36 (Starr Blueblood),Sectional 2: 16.05 (Starr Blueblood),Run home: 7.16,,,,,,
HOMEBUSH FINN (3) - hampered prior to the bend.,,,,,,,,
MAGIC JESS LASS (6) - had heels clipped early stages. Checked and lost ground entering the bend.,,,,,,,,
SOZIN'S AZURE (7) - checked inwards clipping heels early stages.,,,,,,,,
,,,,,,,,
,,,,,,,,
FULL RESULTS,Race 9,ORETI BEACH RUN,"C1 457 $2,505.00",Photo Finish,,,,
PLACE,DOG,BOX,SP,WEIGHT,BENDS,TRAINER,MARGIN,
1,Big Tiny,1,$5.60,34.6kg,231,J T McInerney,,
2,Prince Rohit,2,$2.30,32.1kg,312,J T McInerney,2,
3,Punch On Scooby,5,$5.00,29.6kg,553,J T McInerney,4.5,
4,Homebush Maycee,4,$11.40,28.9kg,124,J T McInerney,4.7,
5,Homebush Barclay,7,$11.50,32.1kg,665,J T McInerney,5.2,
6,Lakota Wichapi,3,$9.90,26.7kg,446,H G Cairns,5.7,
7,Homebush Surgeon,6,$18.00,34.1kg,887,J T McInerney,6.7,
8,Bound Up,8,$17.00,30.3kg,778,J T McInerney,7.2,
Scratched,Impressive High,,,,,,,
Scratched,Homebush Bomber,,,,,,,
Winners Time: 27.27,|,Margins: 2L2hLH,|,Owned/Raced by: JT McInerney & M Thompson,|,Trained by: J T McInerney,,
Sectional 1: 8.78 (Homebush Maycee),Sectional 2: 19.78 (Prince Rohit),Run home: 7.49,,,,,,
HOMEBUSH SURGEON (6) - slow early stages before racing wide losing ground.,,,,,,,,
,,,,,,,,
,,,,,,,,
FULL RESULTS,Race 10,GREYHOUNDSASPETS.ORG.NZ,"C2 457 $2,860.00",Photo Finish,,,,
PLACE,DOG,BOX,ODDS,WEIGHT,BENDS,TRAINER,MARGIN,
1,Joe Bonanza,1,,35.3kg,111,J T McInerney,,
2,Tucker,4,,32.0kg,222,D J Lane,6.5,
3,Khatia,2,,28.8kg,333,J T McInerney,6.6,
4,Chunk,5,,32.0kg,444,J T McInerney,8.1,
5,Sozin's Assassin,8,,30.9kg,555,J T McInerney,9.9,
6,Black Dan,7,,33.9kg,666,J T McInerney,10.7,
Scratched,Cosmic Stu,,,,,,,
Scratched,Homebush Boden,,,,,,,
Scratched,Nippa Enough,,,,,,,
Winners Time: 26.62,|,Margins: 6hLn1hL,|,Owned/Raced by: JT McInerney & M Thompson,|,Trained by: J T McInerney,,
Sectional 1: 8.72 (Joe Bonanza),Sectional 2: 19.41 (Joe Bonanza),Run home: 7.21,,,,,,
JOE BONANZA (1) - boxed first.,,,,,,,,
KHATIA (2) - placed on heels entering bend.,,,,,,,,
CHUNK (5) - slow early.,,,,,,,,
BLACK DAN (7) - placed on heels entering bend.,,,,,,,,
SOZIN'S ASSASSIN (8) - slow early.,,,,,,,,
,,,,,,,,
,,,,,,,,
FULL RESULTS,Race 11,SOUTHERN LIGHTS AT STUD,"C1 390 $1,450.00",Photo Finish,,,,
PLACE,DOG,BOX,ODDS,WEIGHT,BENDS,TRAINER,MARGIN,
1,Impressive High,2,,32.1kg,111,J T McInerney,,
2,Homebush Rehaina,4,,32.1kg,222,J T McInerney,6.5,
3,Homebush Bomber,5,,31.5kg,673,J T McInerney,7.3,
4,Lakota Micco,1,,32.5kg,744,H G Cairns,7.8,
5,Mick The Mouse,3,,33.3kg,435,J T McInerney,8.1,
6,Long Live Love,8,,31.8kg,366,M P Hamilton-Dyett,8.9,
7,Brut Magic,7,,35.0kg,557,C Healey,9.2,
8,Mitcham Sam,6,,33.0kg,888,J T McInerney,13.5,
Scratched,Homebush Maree,,,,,,,
Scratched,Homebush Fudge,,,,,,,
Winners Time: 23.27,|,Margins: 6hLtLhL,|,Owned/Raced by: J McInerney,|,Trained by: J T McInerney,,
Sectional 1: 5.47 (Impressive High),Sectional 2: 16.14 (Impressive High),Run home: 7.13,,,,,,
LAKOTA MICCO (1) - placed in restricted room entering the bend having to check.,,,,,,,,
MICK THE MOUSE (3) - boxed first.,,,,,,,,
HOMEBUSH BOMBER (5) - hampered early stages. Squeezed for room prior to the bend having to steady.,,,,,,,,
MITCHAM SAM (6) - hampered early stages losing ground.,,,,,,,,
